title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,reason
Something Different,Věra Chytilová,1963,Czechoslovakia,tt0057374,1963,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Black God, White Devil",Glauber Rocha,1964,Brazil,tt0058006,1964,120,fuzzy_canonical,100.0,has_credits_no_shared_actor
Diamonds of the Night,Jan Němec,1964,Czechoslovakia,tt0058001,1964,67,fuzzy_canonical,100.0,has_credits_no_shared_actor
Gertrud,Carl Th. Dreyer,1964,Denmark,tt0058138,1964,116,fuzzy_canonical,97.2,has_credits_no_shared_actor
Love Meetings,Pier Paolo Pasolini,1964,Italy,tt0057960,1964,92,fuzzy_canonical,100.0,has_credits_no_shared_actor
Point of Order!,Emile de Antonio,1964,United States,tt0058481,1964,97,fuzzy_canonical,100.0,no_actor_credits_in_imdb
My Home Is Copacabana,Arne Sucksdorff,1965,Sweden,tt0059456,1965,88,fuzzy_canonical,89.3,has_credits_no_shared_actor
The Love Goddesses,Saul J. Turell,1965,United States,tt0059402,1965,79,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Moment of Truth,Francesco Rosi,1965,Italy,tt0059459,1965,103,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Shop on Main Street,Ján Kadár and Elmar Klos,1965,Czechoslovakia,tt0059527,1965,128,fuzzy_canonical,95.6,has_credits_no_shared_actor
Tokyo Olympiad,Kon Ichikawa,1965,Japan,tt0059817,1965,170,fuzzy_canonical,100.0,has_credits_no_shared_actor
Who Killed Teddy Bear?,Joseph Cates,1965,United States,tt0059909,1965,94,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Good Times, Wonderful Times",Lionel Rogosin,1966,United Kingdom,tt0144017,1965,70,fuzzy_canonical,92.5,has_credits_no_shared_actor
Sensation of the Century,Taguchi Suketaro and Nobusama Kawamoto,1966,Japan,tt7262782,1966,156,fuzzy_canonical,86.9,has_credits_no_shared_actor
The Battle of Algiers,Gillo Pontecorvo,1966,Italy,tt0058946,1966,121,fuzzy_canonical,100.0,has_credits_no_shared_actor
Rush to Judgment,Emile de Antonio,1967,United States,tt0060920,1967,98,fuzzy_canonical,100.0,has_credits_no_shared_actor
Warrendale,Allan King,1967,Canada,tt0062474,1967,100,fuzzy_canonical,100.0,has_credits_no_shared_actor
Innocence Unprotected,Dušan Makavejev,1968,Yugoslavia,tt0063342,1968,75,fuzzy_canonical,100.0,has_credits_no_shared_actor
L’enfance nue,Maurice Pialat,1968,France,tt0065695,1968,83,fuzzy_canonical,100.0,has_credits_no_shared_actor
Snows of Grenoble,Jacques Ertaud and Jean-Jacques Languepin,1968,France,tt1619032,1968,97,fuzzy_canonical,95.4,no_actor_credits_in_imdb
A Married Couple,Allan King,1969,Canada,tt0064640,1969,97,fuzzy_canonical,100.0,has_credits_no_shared_actor
More,Barbet Schroeder,1969,West Germany,tt0064694,1969,112,fuzzy_canonical,100.0,has_credits_no_shared_actor
Salesman,"David Maysles, Albert Maysles, and Charlotte Zwerin",1969,United States,tt0064921,1969,91,fuzzy_canonical,94.9,has_credits_no_shared_actor
The Color of Pomegranates,Sergei Parajanov,1969,Soviet Union,tt0063555,1969,79,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Olympics in Mexico,Alberto Isaac,1969,Mexico,tt0064756,1969,120,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Eldridge Cleaver, Black Panther",William Klein,1970,Algeria,tt0196528,1970,73,fuzzy_canonical,100.0,has_credits_no_shared_actor
Equinox,Jack Woods,1970,United States,tt0067055,1970,82,fuzzy_canonical,100.0,has_credits_no_shared_actor
Wanda,Barbara Loden,1970,United States,tt0067961,1970,102,fuzzy_canonical,100.0,has_credits_no_shared_actor
Zorns Lemma,Hollis Frampton,1970,United States,tt0131149,1970,60,fuzzy_canonical,100.0,has_credits_no_shared_actor
Millhouse,Emile de Antonio,1971,United States,tt0067431,1971,92,fuzzy_canonical,100.0,no_actor_credits_in_imdb
Mon oncle Antoine,Claude Jutra,1971,Canada,tt0067439,1971,104,fuzzy_canonical,100.0,has_credits_no_shared_actor
Pink Narcissus,James Bidgood,1971,United States,tt0067580,1971,65,fuzzy_canonical,100.0,has_credits_no_shared_actor
