actor_nconst,actor_name
nm0113560,Floyce Brown
nm0115008,Irene Browne
nm0116756,Haakon Brusveen
nm0118126,Brian Buchel
nm0119321,Marilyn Buferd
nm0122336,Angela Burnett
nm0125593,Vasili Buzenkov
nm0125927,Rudolph Bylek
nm0128414,Jean Caffeine
nm1043031,Tim Plester
nm10433470,Abdel Da'em Omer
nm1046571,Kiril Ristoski
nm1051156,Roger Rizzi
nm11187908,Darlene Arrington
nm11195740,Ryan Williams
nm11220189,Earlie Jarrell
nm11229571,Maurice Cormier
nm11234645,Walter Szczypula
nm12119316,Morgane Ribout
nm1214624,Jamie Spivey
nm1406904,Dakota Jackson-Brewer
nm1410815,Asghar Farhadi
nm1414988,Georgette Baudry
nm15908217,Ben Martin
nm1595327,JD Samson
nm1795843,Tomoka Hasebe
nm1797071,Keishichi Nakahara
nm2516090,James Norwood Pratt
nm2524319,Mick Dempsey
nm2560618,Willa Fitzgerald
nm4478292,Wilson Savoy
nm4483171,Chuck Alston
nm5737849,Chiyotoshi Beppu
nm5757168,Raphie de Santos
nm5765209,Catrina Delpena
nm7316147,Jesuthasan Antonythasan
nm7356603,Edith Irving
nm8889671,Khalid Mahamoud
nm9664760,Steven Zhang
nm0004266,Anne Hathaway
nm0004291,Nargis
nm0004486,Bruno Ganz
nm0004838,Martha Coolidge
nm0005204,Paul McCrane
nm0006168,John Lennon
nm0667691,Michal Pavlata
nm0668053,Toivo Pawlo
nm0668271,Bruce Payne
nm0671294,Karl-Heinz Pelser
nm0672057,Malvina Penne
nm0672496,Nico Pepe
nm0673749,François Périer
nm0673784,Josh Perilo
nm0675484,Lisa Jane Persky
nm0675525,Fred Personne
nm0676201,Pîtâ
nm0677148,Evangeline Peterson
nm0680512,John Phillips
nm0680587,Leslie Phillips
nm0680732,Robert Phillips
nm0681056,V. Phipps-Wilson
nm0685632,Paola Pitagora
nm0685651,Maria Pitarresi
nm0689654,Eileen Pollock
nm0690500,Henri Pons
nm0690721,Françoise Ponty
nm0694608,Ray Powers
nm0698564,Zhanna Prokhorenko
nm0699120,Juliet Prowse
nm0701423,Norbert Pycha
nm0703032,Anna Quayle
nm0708479,Mitsusaburô Ramon
nm0710277,Matthew Rankin
nm0710490,Mari Rantasila
nm0711003,Eva Ras
nm0711659,Elisabeth Rath
nm0714919,Nick Reding
nm0718469,Charles Reisner
nm0718939,Leïla Remili
nm0719233,Madeleine Renaud
nm0719956,Andrea Renzi
nm0722440,Hari Rhodes
nm0722988,Fabián Ribezzo
nm0723262,Teresa Ricci
nm0723918,Pierre Richard-Willm
nm0725302,Kerstin Richter
nm0726323,Christian Riehl
nm0726527,Joseph Rigano
nm0729620,Pascal Rivet
nm0729626,Jacques Rivette
nm0730659,Jeffrey Robert
nm0733460,Flora Robson
nm0734467,Allison Roddan
nm0736705,Alva Rogers
nm0738433,Henry Rollins
nm0741948,Danny Rosen
nm0743099,Milton Rosmer
nm0743605,Lee Ross
nm0744740,Anthony Rotell
nm0745600,Alida Rouffe
nm0746505,Earl Rowe
nm0746516,George Rowe
nm0747232,Brian Royal
nm0748964,Lars Rudolph
nm0750079,Sig Ruman
nm0751752,Vito Russo
nm0753479,Chishû Ryû
nm0753679,Colette Régis
nm0754990,Giampaolo Saccarola
nm0755960,Zenpei Saga
nm0756790,Claude Sainval
nm0763631,Ray Santiago
nm0764407,Sumita Sanyal
nm0765324,Nicolas Sarkozy
nm0765823,Sumie Sasaki
nm0766370,Stefano Satta Flores
nm0767567,Lyudmila Saveleva
nm0768032,Sônosuke Sawamura
nm0769554,Betty Schade
nm0771350,David Schickele
nm0773590,August Schmölzer
nm0773723,Betty Schneider
nm0773973,Paul Schneider
nm0774231,Raul Schnoor
nm0774736,Kyra Schon
nm0777770,Markus Schweiger
nm0780293,Rick Scully
nm0783527,Morton Selten
nm0784171,Joe Seneca
nm0784778,Masanori Sera
nm0785565,Julieta Serrano
nm0786457,Lolita Sevilla
nm0788340,Molly Shannon
nm0788762,Shari
nm0790423,Chris Shearer
nm0790474,Alan Shearman
nm0793977,Setsuko Shinoi
nm0794585,Yuriy Shlykov
nm0794890,Dan Shor
nm1041148,Park Yong-woo
nm10599117,Chavela Express
nm1060331,Richard Daggett
nm10657454,Mia Isaac
nm1067552,Kim Young Ae
nm1156328,Joe Anderson
nm1162401,Koko
nm12413742,Carlotta Gamba
nm1249510,Per Broman
nm1250558,Valeriu Andriuta
nm12510714,Ivana Barnes
nm13321909,Hrafn Þráinsson
nm13359286,Natale Bertocco
nm13364903,Eugenio Drosdov
nm1342194,Dana Dembinski Medeleanu
nm14587034,Jungmin Park
nm1463326,Rose 'Pistolla's' Evangelisti
nm1463408,George Flintroy
nm14643703,Mela
nm1616820,Haym Richard Katz
nm16173496,Mahan Mohammadinasab
nm1767113,Van der Haegen
nm1776703,Tarik O'Regan
nm1777217,Pat Bond
nm2910574,Lorenzo Zurzolo
nm2929294,Soul
nm2947894,Petrica Sapdaru
nm4104109,Riri Afuang
nm4159635,Willy Friedman
nm5395541,Dida Maia
nm5509020,Masanao Kawakane
nm7937983,Carlton King
nm7987902,Nan Ji
nm0259896,Jacques Ertaud
nm0261161,Giani Esposito
nm0261927,Xus Estruch
nm0262401,Boris Eustache
nm0262775,Gene Evans
nm0263368,Trevor Eve
nm0263851,Rosamund Kwan
nm0263904,Lola Ewerlund
nm0264692,Saturnin Fabre
nm0266029,Maria Falconetti
nm0267060,Mohammad Farakani
nm0267650,Jim Farley
nm0268884,Femi Fatoba
nm0269809,Sirvart Fazlian
nm0269929,George Feaster
nm0271466,Riccardo Fellini
nm0274731,Benoît Ferreux
nm0274949,Martine Ferrière
nm0275009,Turi Ferro
nm0279784,Shelley Fisher
nm0282530,Suzanne Flon
nm0282894,María Elena Flores
nm0284140,Gary Foley
nm0284870,Gabrielle Fontan
nm0288270,Annick Fougery
nm0288597,Guillaume Foutrier
nm0291440,Hattie Franklin
nm0293315,Brian Freeman
nm0294393,Maruchi Fresno
nm0296529,Lauren Friedman
nm0297908,Shôki Fukae
nm0299955,Claudine Gabay
nm0301689,Livio Galassi
nm0304709,Jack Kao
nm0306675,Maria Gardena
nm0306978,Joan Gardner
nm0311185,Josseline Gaël
nm0311619,Ellen Geer
nm0313033,Conchita Gentil Arcos
nm0313265,Wallace Geoffrey
nm0314960,Valeska Gert
nm0315288,John Getz
nm0317293,Pamela Gidley
nm0317771,Gilbert Gil
nm0318926,Dizzy Gillespie
nm0320377,Gabriella Giorgelli
nm0322275,Aleksey Glazyrin
nm0322390,Robert Gleckler
nm0323203,Vadim Glowna
nm0324501,Carl Goetz
nm0326556,Thomas Gollas
nm0326679,Kevin Golsby
nm0327064,Nick Gomez
nm0327337,Luciano Gonini
nm0329746,Claudio Gora
nm0329955,Adrian Gordon
nm0334892,Francesco Grandjacquet
nm0334928,Gisèle Grandpré
nm0335048,Farley Granger
nm0335738,Charles Granval
nm0338564,Mitchell Greenberg
nm0338616,Joshua Greenblatt
nm0340380,Alain Grestau
nm0341743,Richard Griffiths
nm0345513,Irina Gubanova
nm0345739,Paula Guedes
nm0346358,Fausto Guerzoni
nm0347605,Madeleine Guitty
nm0348280,Frank Gunnell
nm0350463,Ann-Marie Gyllenspetz
nm0351401,Marie Göranzon
nm0352467,John Hackett
nm0352601,Michiko Hada
nm0352653,Hachemi Haddad
nm0353592,Piers Haggard
nm0353916,Jess Hahn
nm0355657,Iris Hall
nm0356420,Magda Haller
nm0357278,Yûji Hamada
nm0358075,Nancy Hamilton
nm0359177,Maggie Han
nm0359217,Han Chang
nm0363705,Christine Harnos
nm0365692,Kathleen Harrison
nm0367935,Machiko Hasegawa
nm0367938,Masami Hasegawa
nm0368583,Harold Hastings
nm0370035,John Hawkes
nm0370144,Jack Hawkins
nm0370221,Screamin' Jay Hawkins
nm0373880,Reihan Heidari
nm0374453,André Heinrich
nm0375167,Erik Hell
nm0377350,Kate Hennig
nm0377580,Bjarne Henriksen
nm0378612,Percy Herbert
nm0380839,Zdenka Hersak
nm0383449,Michael Higgins
nm0383675,Chieko Higuchi
nm0385543,Art Hindle
nm0385577,Cindy Hinds
nm0386179,Mikijirô Hira
nm0387071,Keve Hjelm
nm10220246,Mine Sögüt
nm11857579,Pedro Chavez
nm1195819,Roberto Onorati
nm13023715,Xavier Alexander Keating
nm1303254,Yau Cheung Yeung
nm1303491,Wayne Jackson
nm14543933,Liz Christin
nm1491264,Sean Doyle
nm14971765,Touran Sehatbakhsh
nm16600238,David Santos
nm2175233,Nikaku Shofukutei
nm2995498,Thierry Amar
nm3011338,Olle Liljas
nm3064540,Kit Fong Leung
nm3084913,Suguru Inoue
nm3086405,Lucy
nm4225184,Kani Kusruti
nm4235402,Ichirô Hayami
nm4262853,Mikako Komatsu
nm4346786,Doreen Kaye
nm4979592,April Andres
nm5047164,Deragh Campbell
nm5077297,Edward Curry
nm6210353,Stanislav Marin
nm6223163,Marissa Castillo
nm0131209,Roberto Camardiel
nm0131904,Pietro Cammarata
nm0133106,César del Campo
nm0133355,Ana María Campoy
nm0134229,LoLo Cannon
nm0136253,Gianfilippo Carcano
nm0136437,Angela Cardile
nm0136571,Lola Cardona
nm0137585,Olimpia Carlisi
nm0137716,Pietro Carloni
nm0138120,Ralph Carlsson
nm0138405,Jean Carmet
nm0139355,Heidi Carpenter
nm0139561,Anthony Carpio
nm0140460,Lupe Carriles
nm0140504,Leo Carrillo
nm0147497,Margarita Ceballos
nm0148081,Teco Celio
nm0148144,Frank Cellier
nm0148827,André Certes
nm0149454,Karla Chadimová
nm0149631,Youssef Chahine
nm0149845,Alok Chakravarty
nm0150674,Jacqueline Champi
nm0151127,Thang Chan
nm0151740,Jonathan Chang
nm0152260,Syd Chaplin
nm0152569,Jean Chapot
nm0155314,Mang-Ha Cheng
nm0155578,John Cheung
nm0156449,Chi-Ping Chang
nm0157857,Chung-Hsing Chao
nm0157893,William Ching
nm0159129,Farid Chopel
nm0159813,Julie Christensen
nm0160462,Christo
nm0161427,Donald Churchill
nm0165915,Yvonne Clech
nm0166316,Acquilla Clemons
nm0167070,Alberto Closas
nm0169155,Saskia Cohen Tanugi
nm0172969,Denys Colomb de Daunant
nm0176693,Harold Conway
nm0178259,Melville Cooper
nm0179112,Vincenzo Corbella
nm0180959,Sergio Corrieri
nm0181053,Bruna Corrà
nm0181305,Valentina Cortese
nm0183145,Vincent Cottrel
nm0188529,Daniel Crohem
nm0191745,Roland Culver
nm0191818,Dorothy Cumming
nm0192579,Judith Cuquele Tarasiuk
nm0194653,Ivan Cândido
nm0195855,Daisy D'Ora
nm0196805,Robert Dagny
nm0197233,Juni Dahr
nm0199006,Linh-Dan Pham
nm0200057,Phil Daniels
nm0202924,Israel Feres David
nm0205192,Mildred Davis
nm0205784,José Marco Davó
nm0208125,Ted de Corsia
nm0209209,René de la Cruz
nm0211246,Giancarlo De Rosa
nm0213946,A.B. DeComathiere
nm0214025,Etienne Decroux
nm0215367,Lorenzo Del Bianco
nm0216602,Bernard Delbard
nm0217022,Marissa Delgado
nm0219062,Maurice Denham
nm0220154,Shaun DePriest
nm0221955,Loredana Detto
nm0224801,Yi'nan Diao
nm0227039,Melinda Dillon
nm0228245,Maggie Dirrane
nm0228710,Norman Dix
nm0229928,Paul Dobson
nm0230335,John Doe
nm0230480,Ulvi Dogan
nm0231213,Akonio Dolo
nm0233431,Charles Dorat
nm0237244,Milena Dravic
nm0239345,Daniel Dublet
nm0239915,Dortha Duckworth
nm0240178,Penelope Dudley-Ward
nm0240797,Dennis Dugan
nm0242283,Maudie Dunham
nm0243894,Checco Durante
nm0244631,Nate Dushku
nm0247237,Holly Earl
nm0248237,Jacques Ebner
nm0248514,Steve Eckardt
nm0252286,Stina Ekblad
nm0252583,Ezzat El Alaili
nm0252666,Loutfi El Hakim
nm0253730,Sirri Elitas
nm0254609,Robert Elliott
nm0256704,Bella Enahoro
nm0256890,Lena Endre
nm0259206,Nils Ericson
nm10077026,Jicky Dussart
nm10986914,Samapriya Dasi
nm10992425,Edgar O'Neal
nm11041240,Cobra Wesley
nm11043507,Tong Linkai
nm1171230,Akiko Matsumoto
nm1173323,Kenji Takaoka
nm1174548,Wladimir Ivanovsky
nm1178384,Marie-Blanche Dehaux
nm1178506,Anna Gayane
nm1178933,Toshinosuke Nagao
nm1181023,Nino D'Agata
nm1181180,Eamon Farren
nm13755945,Magnus Almqvist
nm1517600,Selahattin Genç
nm15228568,Ziba Babayi
nm1525639,Joséphine de Meaux
nm16345593,Mike Tyler
nm17345712,Chester Culp
nm2634424,Tamás Darnyi
nm2694779,Sheng Yao
nm2717968,Yoko Nakagawa
nm3928833,Margaret Singer
nm4047548,Jordan Wells
nm5534682,Jess X. Snow
nm5570398,George L. Bolton
nm7582319,Etta
nm7613000,Winston Rollins
nm0522884,Arthur Lowe
nm0524468,Enrique Lucero
nm0525793,Folco Lulli
nm0527278,Andreas Lust
nm0528164,Will Lyman
nm0529287,Dörte Lyssewski
nm0529592,Théo Légitimus
nm0532314,Eduardo MacGregor
nm0534274,Arthur Macrae
nm0935695,Claude Winter
nm0938923,Anna May Wong
nm0939075,Gigi Suk Yee Wong
nm0939707,G. Wood
nm0942039,Fay Wray
nm0943827,Bill Wyman
nm0944018,Christopher Wynne
nm0945299,Isao Yamagata
nm0945501,Tôgô Yamamoto
nm0945849,Shingo Yanagisawa
nm0946180,Josée Yanne
nm0947675,Vladimir Yershov
nm0949097,Kazuko Yoshiyuki
nm0949107,Kyoko Yoshizawa
nm0949521,Ric Young
nm0950811,Ichirô Yûki
nm0951181,Mieko Yûki
nm0952304,Ahmed Zaki
nm0952854,Masud Zandbegleh
nm0952911,Philip Zandén
nm0953088,Maria Zanoli
nm0953414,Frederico Zardi
nm0954986,Vitus Zeplichal
nm0955505,Wei Zhao
nm0955730,Yerik Zholzhaksynov
nm0957668,Salah Zulfikar
nm0958345,George Zucco
nm0959341,Enrique Álvarez Félix
nm0962197,Frank Gehry
nm0971400,Michèle Comte
nm0972953,Yi-Hsuan Chen
nm0973345,André Katelbach
nm1070961,Frank Barnes
nm1071329,Gabriel Lampa
nm10744200,Pare Gol Atashjameh
nm1079916,Oussama Nadir
nm1080104,Morgan Brown
nm12557710,Bin Akao
nm1263552,Netty Herawati
nm14259125,Ron Go
nm1433026,Clair Becker
nm1569349,Mimi Branescu
nm15703321,Ella Bothner-By
nm15763215,Zachary Thomas
nm15795277,Natalie Monarrez
nm1700839,Michel Palmer
nm1700980,Yôko Fujita
nm1708008,William Hasswani
nm17098307,Rajab Mojdehi
nm2733035,Thomas Poitevin
nm2736268,Carmen M. Herlihy
nm2749745,Reyad El Kasabgy
nm2758852,Caitlin McIntosh
nm2804459,Duangjai Hiransri
nm2807447,Erich Borchmeyer
nm2809136,David Best
nm3850358,Robert Milicevic
nm3869563,Gholamreza Emami
nm3883783,Mahmoud Enayat
nm5324746,Kyoko Takenaka
nm5336195,Amos Mac
nm6916037,René Gilleron
nm7032561,Cristian Miranda
nm9840263,Tanbâ Matasaburô
nm9882685,Ryutaro Gomi
nm1227232,Brady Corbet
nm1237973,Warren Jacquin
nm1372963,Michael Slevin
nm1728895,Esther Sironneau
nm1760645,Noriko Watari
nm1824834,María Bazán
nm1833009,Alan Dunikowsky
nm1865985,Maria Pehipol
nm1890655,Dorian Boguta
nm1918783,André de la Rivière
nm1930740,E.S. Edgerton
nm3570765,Antonio Aiello
nm3571394,Marion Morris
nm3583639,Nathaniel Lee Sr.
nm4811501,Luca Fiamenghi
nm4852218,Can Themba
nm6530844,S.E. Gontarski
nm6535432,Azees Nedumangad
nm6546490,Joaquin Cardoner
nm6563955,Chaka Phehlamarole Khalechene
nm6681860,Edda Sharp
nm8110448,Tôru Gômori
nm8128903,Shahin
nm8198286,Luisa Leal
nm8199701,Princess Deeba
nm8219038,Susan Lukas
nm8231783,Jose Almeiro Rodriguez
nm9198182,Mara Elena Andrei
nm9228853,Nobuko Amano
nm1319467,Satasinh Manila
nm13253432,Alf Andersen
nm13276751,Ana Garay Kostic
nm14852677,Shirin Rezvan
nm14855053,Sara Riebow
nm16192000,Huasen Zhang
nm16430208,Germana Boldrini
nm16431751,Arazi
nm16437944,Sidney Atkinson
nm16437946,Helmuth Körnig
nm16437947,Edward Barton Hamm
nm1748642,Eulalia Neilson
nm17549902,Hans Fritsch
nm17562623,Joe Broadus
nm3434665,Ion Stoica
nm3517779,Haradhan Basu
nm4948481,Sayed Abdel Karim
nm5089790,Briana Kennedy
nm5094311,John Orozco
nm5140520,Amane Okayama
nm5184640,François Courbin
nm5196724,Nobuko Matsuzono
nm6796859,Jacob Ottander
nm6796879,Herman Troeng
nm6837097,Emmanuel Kojo
nm9379421,Nathalie Schleehauf
nm0391055,Jason Holliday
nm0393063,Victor Hon
nm0393853,William Hootkins
nm0396136,Robert Hossein
nm0396992,Anders Hove
nm0397604,Shingzie Howard
nm0398801,Ko Chun-Hsiung
nm0398871,David Wu
nm0400464,Barnard Hughes
nm0401192,Kara Ying Hung Wai
nm0401935,Marcus Humphrey
nm0406563,Nagwa Ibrahim
nm0406713,Danko Ichikawa
nm0407508,Junko Ikeuchi
nm0408029,Masayuki Imai
nm0408998,Kate Ingram
nm0409105,Valéry Inkijinoff
nm0409813,Iravatha
nm0410247,Clifford Irving
nm0410781,Tor Isedal
nm0410965,Tatsuya Ishiguro
nm0411694,Hiroko Itô
nm0411770,Yûnosuke Itô
nm0411978,M. Ivanin
nm0412212,Peter Ivatts
nm0412514,Hanshirô Iwai
nm0413523,Floyd Jackson
nm0415231,Abel Jacquin
nm0415395,Hannes Jaenicke
nm0417512,Alain Janey
nm0422936,Flaco Jiménez
nm0424326,Jasper Johns
nm0424743,Celia Johnson
nm0426799,Oliver Johnston
nm0430175,Sam Jordan
nm0430746,Erland Josephson
nm0432055,Alexandra Juhasz
nm0432216,Rupert Julian
nm0433414,Ladislav Jánsky
nm0433650,Nine-Christine Jönsson
nm0439647,Lars Karlsson
nm0439911,Tzavalas Karousos
nm0440839,Adly Kasseb
nm0441351,Gô Katô
nm0441399,Takeshi Katô
nm0442876,Chôichirô Kawarasaki
nm0442881,Shizue Kawarazaki
nm0442951,Seizaburô Kawazu
nm0443985,Billy Kearns
nm0448224,Merna Kennedy
nm0449392,Paul Kermack
nm0452816,Kiki of Montparnasse
nm0452817,Kirin Kiki
nm0454087,Isao Kimura
nm0454123,Toshie Kimura
nm0454247,Jullan Kindahl
nm0456786,Rolf Kirkvaag
nm0457204,Keiko Kishi
nm0458047,Ingvar Kjellson
nm0458749,Gad Klein
nm0459619,Elmer Kline
nm0462007,Katsuhiko Kobayashi
nm0462292,Ed Koch
nm0465486,Josef Konícek
nm0465948,Petr Kopriva
nm0467170,Martin Kosleck
nm0468003,Hubert Koundé
nm0468754,Josef Koza
nm0470999,Jaroslava Kretschmerová
nm0471080,Patric Kreuzer
nm0472989,Stepan Krylov
nm0473523,Ursula Kubler
nm0475160,Tadeusz Kunikowski
nm0475872,Yatarô Kurokawa
nm0476182,Kyôko Kusajima
nm0476196,Naoya Kusakawa
nm0477772,Shigeru Kôyama
nm0480150,Otto Lackovic
nm0480680,Max Laemmle
nm0480951,Jean-Philippe Lafont
nm0482351,Jacques Lalande
nm0484303,Bernard Lancret
nm0484756,Lilia Landi
nm0488917,Thomas Bo Larsen
nm0490497,Billy Lau
nm0494078,Samuel Le Bihan
nm0494276,Robert le Flon
nm0494452,John Le Mesurier
nm0494538,Monique Le Porrier
nm0496614,Fernand Ledoux
nm0496617,Jacques Ledoux
nm0497763,Lily Li
nm0503499,Preben Lerdorff Rye
nm0505764,Anna Thomson
nm0507441,L.E. Lewis
nm0511409,Sven Lindberg
nm0516093,Norman Lloyd
nm10127641,O. Novotná
nm1033907,Victor Alexander
nm10386336,Brynjar Åbel Bandlien
nm10387860,Siri Forberg
nm11827798,Saïd Aouita
nm1361847,Molly Thompson
nm13651835,Taiwen Zhang
nm1366376,Masaharu Arikawa
nm1369544,Thomas Mullen
nm1372205,Tôru Takeuchi
nm1477458,Isabelle Roche
nm16491739,Vivianna de Blonville
nm1670248,Shunsaku Kashima
nm1933502,Colette Bonnet
nm1951867,Razia Mujahid
nm1955791,Amanda M. Burden
nm1959101,Norio Ôtsuka
nm2006739,Roscoe Collins
nm2015658,Perry Dizon
nm3706403,Kazuo Goto
nm3732272,Gen Harada
nm4705032,David Jenkins
nm4736595,Carl Dupree
nm4739344,Paulo Jorge Gonçalves
nm4800241,Annie Darisse-Desbiens
nm6109270,Brad Deane
nm6159865,Tommy Kenny
nm7461717,Maddie Campbell
nm7567599,Bob Currie
nm8940844,Shay Walker
nm8994440,Fred Nelson
nm9015266,Andrew Elliott
nm9015267,William Lauderdale
nm0800097,Christopher Simon
nm0803561,Gunnar Sjöberg
nm0804077,Léna Skerla
nm0807580,C. Aubrey Smith
nm0807709,Christopher Smith
nm0808129,Elliott Smith
nm0809117,Lionel Mark Smith
nm0809421,Muriel Smith
nm0810691,Tom Smothers
nm0813247,Madeleine Sologne
nm0816538,Charlie Spademan
nm0818215,Jeremy Spenser
nm0823730,Ingrid Stassner
nm0826344,Mado Stelli
nm0828211,George Stevens Jr.
nm0829576,Kristen Stewart
nm0832422,Henri Storck
nm0834165,Julius Streicher
nm0836717,Franziska Stömmer
nm0837223,Alison Sudol
nm0837519,Kaoru Sugita
nm0837712,Sukezô Sukedakaya
nm0837959,Barry Sullivan
nm0840578,Hiroo Suzuki
nm0840605,Kazuo Suzuki
nm0841085,Aleksandra Svenskaya
nm0844002,Henri Szeps
nm0845209,Aitana Sánchez-Gijón
nm0846152,Kimiko Tachibana
nm0846616,Sharmila Tagore
nm0847851,Odette Talazac
nm0848560,Russ Tamblyn
nm0848785,Masakazu Tamura
nm0851356,E.G. Tatum
nm0853041,Renée Taylor
nm0854189,Tora Teje
nm0855395,Mikio Terashima
nm0856187,Laurent Terzieff
nm0858010,Jerome Thier
nm0858634,Christine Thomas
nm0861500,Cherokee Thornton
nm0862950,Thomas Tierney
nm0864812,James Toback
nm0865891,Claudio Tolcachir
nm0866835,David Tomlinson
nm0869495,Marshall Touchton
nm0874067,John Trudell
nm0875208,Yoshiko Tsubouchi
nm0875237,Yoshio Tsuchiya
nm0875362,Yôko Tsukasa
nm0875623,Helen Tubbs
nm0875918,Larry Tucker
nm0876543,Chris Tummings
nm0876600,Wei Tung
nm0880742,Mehmet Ulusoy
nm0881292,Oduvil Unnikrishnan
nm0882237,Saro Urzì
nm0882570,Inger Utsi
nm0884561,Max Wolf Valerio
nm0885286,Jean Valmont
nm0887708,Melvin Van Peebles
nm0889518,Rosalie Varda
nm0890038,Beatrice Varley
nm0892992,Arturo Venegas
nm0894303,Françoise Verley
nm0894583,Guy Verney
nm0894693,Lou Vernon
nm0896060,Antonio Vico
nm0900393,José Vivó
nm0902760,Michael von Newlinsky
nm0906745,Setsuko Wakayama
nm0908116,Polly Walker
nm0909668,Jack Walsh
nm0910843,Bo Wang
nm0911206,Ashley Wanninger
nm0913912,Tsunehiko Watase
nm0914031,Alice Waters
nm0914327,Jason Watkins
nm0917670,Vicky Wei
nm0920569,Margaret Welsh
nm0921881,Gene Wesson
nm0922068,Ford West
nm0922170,Julian West
nm0922306,Rebecca West
nm0925242,Millie White
nm0925790,Sandy Whitelaw
nm0925970,Peter Whitford
nm0927401,Guido Wieland
nm0927995,Claire Wikholm
nm0928214,Herbert Wilcox
nm0929101,Cathy Wilkerson
nm11407027,Cheng-Lan Chin
nm11424258,Kamari Love
nm1142684,Uday Shankar
nm1151081,José Somada
nm1270887,Anne Montgomery
nm1272031,Tianlai Hou
nm12731674,Gio Ventura
nm1275391,Buddy the Dog
nm1275648,Luque Gago
nm12809244,Obinne Onyeador
nm1283423,Yôtarô Katsumi
nm1347075,Mirela Oprisor
nm13492928,JC Santiago
nm1354322,I. Babayan
nm15034201,Louiza Aura
nm1505051,Alexandrov Red Army Ensemble
nm15111144,Garrett Murphy
nm1689237,João Carlos de Oliveira
nm16950377,Renita Lewis
nm2206856,Jon Zazula
nm2239499,Valeri Korshia
nm2244205,Léa Seydoux
nm2276340,Teodor Corban
nm2282593,Halldór Laxness Halldórsson
nm2302939,Nate Barnett
nm2302999,Frank Carey
nm3272086,Mahault Mollaret
nm3337498,Karl Gärtner
nm3347431,Lauren Kerchner
nm7086544,Saisiri Xoomsai
nm7176470,Malik J Ali
nm0537070,Carl Mahon
nm0537343,Marise Maia
nm0537973,Virginia Maitland
nm0539402,Pierre Malet
nm0540245,Lennart Malmer
nm0541675,Rena Mandel
nm0542009,Gaspard Manesse
nm0542690,Claude Mann
nm0545810,Señor Marco
nm0546621,Gilles Margaritis
nm0547140,Rossana Mariano
nm0548346,Jodie Markell
nm0549134,John Marley
nm0551511,Max Martel
nm0553067,Sian Martin
nm0554929,Roberto Sosa
nm0557219,Michael Massee
nm0559521,Kappei Matsumoto
nm0559630,Kikko Matsuoka
nm0559655,Hiromi Matsushita
nm0559662,Tatsuo Matsushita
nm0560024,Frank Matthews
nm0560614,G. Matvei
nm0560857,W. Somerset Maugham
nm0563922,Des McAleer
nm0564044,Ray McAnally
nm0565277,Nobu McCarthy
nm0569635,Dorothy McGowan
nm0570286,Scott Hunter McGuire
nm0570451,Frank McHugh
nm0573054,Liam McMahon
nm0573715,Pat McNamara
nm0574223,Fred McPherson
nm0575759,Rafael Medina
nm0577203,Andrés Mejuto
nm0578247,Gastón Melo
nm0578527,Murray Melvin
nm0585004,Keith Michell
nm0588033,Carl Miller
nm0591877,Miou-Miou
nm0592500,Olga Mironova
nm0593129,Ann Mitchell
nm0594337,Makoto Miyagawa
nm0594652,Reiko Minakami
nm0594885,Geneviève Mnich
nm0596409,Peter Moland
nm0598197,Marc Monjou
nm0603446,Yolande Moreau
nm0606783,Mary Morris
nm0611026,Cookie Mueller
nm0611547,Purnendu Mukherjee
nm0613917,Christine Murillo
nm0614425,Kathleen Murphy
nm0616543,Ntare Guma Mbaho Mwine
nm0618463,Serigne N'Diayes
nm0619228,Isamu Nagato
nm0619403,Akira Nagoya
nm0620077,Shizuo Chûjô
nm0620390,Yasuko Nakada
nm0622145,Agathe Natanson
nm0622406,Shizue Natsukawa
nm0624372,Akemi Negishi
nm0624552,Carola Neher
nm0625415,Hootie Nelson
nm0625845,Dana Nemcova
nm0626849,Sonja Neudorfer
nm0627969,Anthony Newley
nm0629006,Dustin Nguyen
nm0631710,Konstantin Kadochnikov
nm0632689,Hidetoshi Nishijima
nm0634601,Takashi Nomura
nm0637133,Vasili Novikov
nm0639044,Mireille Nègre
nm0639385,Hugh O'Brian
nm0639780,Rebecca O'Brien
nm0640413,Kevin J. O'Connor
nm0640547,Una O'Connor
nm0642198,Jennifer O'Neill
nm0642988,Jack Oakie
nm0643025,Laura Oakley
nm0643997,Fritz Odemar
nm0645537,Heihachirô Ôkawa
nm0646141,Andrew Loog Oldham
nm0648056,Gunnar Olsson
nm0649756,Nando Orfei
nm0650293,Luigi Ornaghi
nm0652068,Samir Osman
nm0653005,Ulf Ôtsuki
nm0657381,Bernadette Palas
nm0657426,Fernando Palavicini
nm0657848,Anita Pallenberg
nm0660007,Roberto Paoletti
nm0660911,Kukku Parameshwaram
nm0663247,Nicoletta Parodi
nm0664214,Marjatta Pasanen
nm0664596,Frantisek Paska
nm0664885,Lars Passgård
nm0665473,Bill Paterson
nm11116105,Elyce Bonnell
nm1128515,Christophe Vilar
nm11347375,Tao Qiu
nm1289405,Zhijian Zhang
nm12963526,Franco Morici
nm14379068,Cristiano Sassella
nm1559268,Jacques Develay
nm16657486,Phil Conley
nm16825354,Effie Furnace
nm1717222,Ion Sapdaru
nm1722389,Chôemon Bandô
nm2327006,Gessica Geneus
nm2356516,René Gros
nm2402623,Steven Prince
nm2419914,Laurie Simmons
nm2429015,Chia-Yen Ko
