actor_nconst,actor_name
nm0853505,Valentina Tyo
nm0854808,Paul Temps
nm0854996,Birgit Tengroth
nm0855384,Michie Terada
nm0856500,Sylvie Testud
nm0856609,Roland Teubner
nm0857658,Ernest Thesiger
nm0860617,Ray Thompson
nm0862892,Patrick Tierney
nm0865761,Saburô Tokitô
nm0866701,Yuki Tominaga
nm0866851,Kathryn Tomlinson
nm0871209,Allan Trautman
nm0875426,Tomie Tsunoda
nm0877230,Veronica Turleigh
nm0879412,Georges Térof
nm0881545,Yôko Uraji
nm0881555,Vladimir Uralskiy
nm0881953,Robert Uricola
nm0884044,Vladimír Valenta
nm0884800,Nils-Aslak Valkeapää
nm0892956,Stephanie Venditto
nm0893770,Patrick Verde
nm0895875,Alexandra Vicencio
nm0897808,José Luis de Vilallonga
nm0901057,Rüdiger Vogler
nm0902823,Rosa von Praunheim
nm0907955,Larrington Walker
nm0908013,Martin Walker
nm0908925,Katherine Wallach
nm0910935,Jean Wang
nm0911093,Jimmy Wang Yu
nm0913843,Misako Watanabe
nm0917912,Tor Weijden
nm0921351,Dieter Wernecke
nm0922668,Carlie Westerman
nm0925289,Pamela White
nm0928795,Michael Shamus Wiles
nm0930539,Emlyn Williams
nm0930732,Harcourt Williams
nm11512845,Baisha Liu
nm1152508,Joseph Beuys
nm1271738,Sammie Fields
nm12719478,Park Yu-rim
nm1279852,Emanuel Jørgensen
nm1356385,Wilma Rudolph
nm13571781,Harry Babcock
nm15076424,Pape Jean Diop
nm15100667,Elaine Featherstone
nm15100670,Donna Michelson
nm2193120,Hannah Gross
nm3338354,Kate Lyn Sheil
nm4555837,Cara Chu
nm4574764,Mark Walton
nm4583383,Isabel Sandoval
nm4600309,Tenma Shibuya
nm4647957,Stacy Pennebaker
nm5870749,Annie St-Pierre
nm0537505,Djingarey Abdoulaye Maïga
nm0537873,Louis Maïss
nm0539562,Art Malik
nm0539965,Tania Mallet
nm0543790,Jayne Mansfield
nm0543909,Charles Manson
nm0545324,Nimmy March
nm0545352,Georges Marchal
nm0546516,Janie Marèse
nm0547409,Marilina Ross
nm0548266,Mary Ellen Mark
nm0551971,Beverley Martin
nm0555227,Mario Iván Martínez
nm0555718,Renaud Mary
nm0556188,Nello Mascia
nm0556319,Kyôsuke Machida
nm0557127,Varvara Massalitinova
nm0559169,Daniel Matmor
nm0559465,Kazuyo Matsui
nm0560602,Marinka Matuszewski
nm0562919,Tobar Mayo
nm0565503,James McCauley
nm0567710,Country Joe McDonald
nm0573790,Gus McNaughton
nm0576507,Ahmed Mehrez
nm0576655,Armin Meier
nm0576954,Golda Meir
nm0580565,Burgess Meredith
nm0582586,Art Metrano
nm0583964,Miao Tien
nm0586533,Kayo Mikimoto
nm0587524,Dragan Milivojevic
nm0590775,Aiko Mimasu
nm0590836,Hideko Mimura
nm0590906,Hiroshi Minami
nm0593355,George Mitchell
nm0593453,Mitch Mitchell
nm0594348,Seiji Miyaguchi
nm0595321,Gaston Modot
nm0597384,Joseph Momo
nm0598840,Renato Montalbano
nm0603336,Kenneth More
nm0605195,Piero Morgia
nm0605270,Masayuki Mori
nm0605365,P.H. Moriarty
nm0606688,Judy Morris
nm0607238,Mark Morrison
nm0608187,Mercedes Morán
nm0609635,Jaroslav Moucka
nm0609675,Tatiana Moukhine
nm0609882,Edwina Mountbatten
nm0611692,G.H. Mulcaster
nm0613098,Caroline Munro
nm0613151,Mr. Munro
nm0615530,Fakir Musafar
nm0615698,Gianni Musy
nm0616344,Matilde Muñoz Sampedro
nm0619197,Toshiyuki Nagashima
nm0619236,Kyôzô Nagatsuka
nm0619906,Machiko Naka
nm0620083,Chieko Nakakita
nm0620112,Akira Nakamura
nm0620438,Yutaka Nakayama
nm0623787,Laurel Near
nm0624478,Daniel Nagrin
nm0626350,Cathleen Nesbitt
nm0627029,Deborah Neumann
nm0629197,Dieynaba Niang
nm0631621,Miho Nikaido
nm0631994,Yuriy Nikulin
nm0632832,Toshiaki Nishizawa
nm0632928,Bernard Nissile
nm0633070,Alexis Nitzer
nm0634749,Tommy Noonan
nm0635712,John Normington
nm0637040,Ivor Novello
nm0643870,Masao Oda
nm0644558,Mariko Ogawa
nm0645812,Kazukimi Okuni
nm0652137,Yves Osmu
nm0652239,Barbara Ossenkopp
nm0652740,Naoko Ôtani
nm0653080,Nadia Ottaviani
nm0653468,Rasmané Ouédraogo
nm0654070,Baard Owe
nm0654208,Megan Owen
nm0654627,Kenji Ôyama
nm0654712,Eitarô Ozawa
nm0654774,Nikolai Ozerov
nm0655389,Myra Paci
nm0655590,Pearl Padamsee
nm0655691,Carlos Padilla Jr.
nm0656180,Geneviève Page
nm0656452,Nicola Pagett
nm0658910,Ivan Palúch
nm0661708,Allison Parisi
nm0662310,J.L. Parker
nm0665727,Lee Payton
nm0665967,Georges Patrix
nm0666062,Jean-Marie Patte
nm11364162,Michael Sternberg
nm12858491,Mila Troncoso
nm12900294,Yukio Kasaya
nm12949384,Susana Ortiz Cobos
nm1436766,Ekke Niiva
nm14457158,Samuel Kircher
nm1445953,Yoshiko Morikawa
nm14490201,Lisa Courvallet
nm14491878,Jessica Jones
nm1533194,Gorô Tarumi
nm1554940,Bob Nicolescu
nm16657485,Ron Delany
nm2325018,Tang Wei
nm2364397,Hermann Zapf
nm2396101,Ge Hu
nm2409524,Mirela Apostu
nm3161139,Vanessa Hope
nm3218579,Dan Formosa
nm3228243,Steve Baker
nm3239107,Isabelle McNally
nm3250036,Eliza Douglas
nm7766049,Tobee Paik
nm7801084,Stormy Henry Knight
nm9484150,Agustín González
nm9510817,Nola Palmer
nm0000001,Fred Astaire
nm0000110,Kenneth Branagh
nm0000123,George Clooney
nm0000174,Val Kilmer
nm0000193,Demi Moore
nm0000207,Christina Ricci
nm0000218,Kristin Scott Thomas
nm0000256,Jenny Agutter
nm0000437,Woody Harrelson
nm0000438,Ed Harris
nm0000458,William Hurt
nm0000460,Jeremy Irons
nm0000485,Fritz Lang
nm0000547,Alfred Molina
nm0000581,Joseph L. Mankiewicz
nm0000587,Donald Pleasence
nm0000588,Martha Plimpton
nm0000654,Terence Stamp
nm0000694,Wim Wenders
nm0000782,Asia Argento
nm0000844,Tamasaburô Bandô
nm0000858,John Barrymore
nm0000886,Warren Beatty
nm0000934,Bernardo Bertolucci
nm0000960,Barry Bostwick
nm0000989,Yul Brynner
nm0001080,Lindsay Crouse
nm0001117,Bruce Davison
nm0001119,Yvonne De Carlo
nm0001215,Albert Finney
nm0001311,Philip Baker Hall
nm0001334,John Heard
nm0001448,Jessica Lange
nm0001496,Amy Madigan
nm0001573,Catherine O'Hara
nm0001673,Jason Robards
nm0001711,Annabella Sciorra
nm0001763,Nick Stahl
nm0001765,Harry Dean Stanton
nm0001888,Robert Douglas
nm0001901,Chantal Akerman
nm0001919,Peggy Ashcroft
nm0001929,Josiane Balasko
nm0001954,Claire Bloom
nm0001980,Carter Burwell
nm0002075,Peter Finch
nm0002106,Ruth Gordon
nm0002145,Trevor Howard
nm0002199,Hector Babenco
nm0002270,Rex Ingram
nm0003248,Fritz Rasp
nm0003420,George Grossmith
nm0007524,Ami Aaröe
nm0008531,Dino Abelino
nm0008761,Yomi Abiodun
nm0009766,Marcel Achard
nm0010648,Ashot Adamyan
nm0011244,Nick Adams
nm0013833,Ah-Lei Gua
nm0016301,Jennifer Albano
nm0021655,Pernilla Allwin
nm0022857,Alaettin Altiok
nm0023641,Osman Alyanak
nm0023923,Yoshitaka Amano
nm0024644,Paul America
nm0030432,Annu Mari
nm0031170,Vladimir Antolek-Oresek
nm0031468,Olga Antonova
nm0031652,Nemesio Antúnez
nm0031798,Reiko Aoi
nm0032341,Basil Appleby
nm0032491,Caroline Appéré
nm0032524,Adriano Aprà
nm0034079,Pierre Arditi
nm0035029,Hashem Arkan
nm0037279,Rose Arrick
nm0038354,Shinjirô Asano
nm0038954,Kuniko Ashihara
nm0040880,Kai Atô
nm0041226,Albert Au
nm0043398,Chikage Awashima
nm0043525,Staffan Axelsson
nm0043648,Sinthia Ayala
nm0043679,Chiyoko Fumiya
nm0044139,Paul Azaïs
nm0044642,Karin Baal
nm0047800,Beulah Bains
nm0049000,Vera Baker
