imdb_tconst,tmdb_id,original_language,status
tt0029942,42390,en,ok
tt0029952,115384,en,ok
tt0029957,29415,fr,ok
tt0029982,216351,en,ok
tt0029995,84090,en,ok
tt0030063,43850,en,ok
tt0030066,148824,sv,ok
tt0030082,43852,en,ok
tt0030127,43844,fr,ok
tt0030149,67880,en,ok
tt0030252,48369,fr,ok
tt0030287,1976,en,ok
tt0030337,76848,sv,ok
tt0030341,940,en,ok
tt0030637,25016,en,ok
tt0030642,76703,fr,ok
tt0030675,207662,en,ok
tt0030848,43155,en,ok
tt0030888,206480,en,ok
tt0030993,34106,en,ok
tt0031210,27972,en,ok
tt0031270,76843,sv,ok
tt0031309,92254,fr,ok
tt0031334,10568,en,ok
tt0031381,770,en,ok
tt0031385,42852,en,ok
tt0031514,27053,fr,ok
tt0031575,47197,en,ok
tt0031593,43739,en,ok
tt0031650,68201,en,ok
tt0031679,3083,en,ok
tt0031725,1859,en,ok
tt0031742,51802,en,ok
tt0031831,43833,en,ok
tt0031885,776,fr,ok
tt0031968,75363,en,ok
tt0031971,995,en,ok
tt0032138,630,en,ok
tt0032145,3084,en,ok
tt0032156,46069,ja,ok
tt0032179,46832,en,ok
tt0032194,43807,en,ok
tt0032484,25670,en,ok
tt0032551,596,en,ok
tt0032553,914,en,ok
tt0032599,3085,en,ok
tt0032655,64926,sv,ok
tt0032671,77744,en,ok
tt0032701,17801,en,ok
tt0032728,52859,en,ok
tt0032881,23283,en,ok
tt0032904,981,en,ok
tt0032976,223,en,ok
tt0033152,12232,en,ok
tt0033407,84087,en,ok
tt0033467,15,en,ok
tt0033532,29451,en,ok
tt0033627,21735,en,ok
tt0033654,45978,ja,ok
tt0033712,38914,en,ok
tt0033722,51395,en,ok
tt0033729,43266,en,ok
tt0033836,43802,en,ok
tt0033858,56151,en,ok
tt0033868,38770,en,ok
tt0033870,963,en,ok
tt0033980,84086,en,ok
tt0034093,64897,fr,ok
tt0034167,16442,en,ok
tt0034240,16305,en,ok
tt0034248,11462,en,ok
tt0034272,43798,en,ok
tt0034298,94659,ja,ok
tt0034478,74402,fr,ok
tt0034493,61461,it,ok
tt0034583,289,en,ok
tt0034587,25508,en,ok
tt0034591,27372,ja,ok
tt0034734,16444,en,ok
tt0034881,25970,en,ok
tt0034891,28093,en,ok
tt0034928,23033,en,ok
tt0034946,53779,en,ok
tt0035001,63981,fr,ok
tt0035015,965,en,ok
tt0035017,54288,fr,ok
tt0035039,265990,fr,ok
